,match
394,NA1_4083302316
395,NA1_4083272520
396,NA1_4083290265
397,NA1_4083259939
398,NA1_4083198463
399,NA1_4083216232
400,NA1_4083242727
401,NA1_4083221700
402,NA1_4083149654
403,NA1_4082375070
404,NA1_4082373032
405,NA1_4082361118
406,NA1_4082347216
407,NA1_4081457465
408,NA1_4081465724
409,NA1_4081462269
410,NA1_4081419667
411,NA1_4081417770
412,NA1_4081396423
413,NA1_4089065846
414,NA1_4061782056
415,NA1_4061746468
416,NA1_3981125163
417,NA1_3909468026
418,NA1_3909470616
419,NA1_3909404832
420,NA1_3909345709
421,NA1_3909299306
422,NA1_3908268337
423,NA1_3908282118
424,NA1_3908215023
425,NA1_3906017624
426,NA1_3905968527
427,NA1_3905931814
428,NA1_3905602966
429,NA1_3905486268
430,NA1_3905419590
431,NA1_3904614844
432,NA1_3904578670
433,NA1_3904591208
434,NA1_3904485287
435,NA1_3904520331
436,NA1_3904077275
437,NA1_3903270874
438,NA1_3903107845
439,NA1_3903119806
440,NA1_3902977423
441,NA1_3902513313
442,NA1_3902029760
443,NA1_3901825677
444,NA1_3901768817
445,NA1_3901769983
446,NA1_3898101880
447,NA1_3896426066
448,NA1_3897816166
449,NA1_3897819931
450,NA1_3896647204
451,NA1_3896700479
452,NA1_3895613240
453,NA1_3894492298
454,NA1_3892299867
455,NA1_3891597147
456,NA1_3891580034
457,NA1_3891505915
458,NA1_3889804273
459,NA1_3888533522
460,NA1_3888488212
461,NA1_3888499981
462,NA1_3888430303
463,NA1_3887875117
464,NA1_3887231991
465,NA1_3887083711
466,NA1_3886874389
467,NA1_3886733566
468,NA1_3886662387
469,NA1_3883840310
470,NA1_3883811816
471,NA1_3882912153
472,NA1_3882809678
473,NA1_3882841806
474,NA1_3882728037
475,NA1_3882743299
476,NA1_3881754082
477,NA1_3880404544
478,NA1_3880363471
479,NA1_3880289525
480,NA1_3880266476
481,NA1_3880257699
482,NA1_3876581374
483,NA1_3876446340
484,NA1_3876471004
485,NA1_3876424578
486,NA1_3876356699
487,NA1_3874234562
488,NA1_3874223085
489,NA1_3874129209
490,NA1_3874143870
491,NA1_3871419842
492,NA1_3871363346
493,NA1_3870354748
494,NA1_3870382783
495,NA1_3870381270
496,NA1_3870207401
497,NA1_3870231823
498,NA1_3869864617
499,NA1_3869783395
500,NA1_3867051731
501,NA1_3867024970
502,NA1_3865164983
503,NA1_3865119639
504,NA1_3865106420
505,NA1_3865091823
506,NA1_3864989580
507,NA1_3865044431
508,NA1_3864378541
509,NA1_3864298442
510,NA1_3864310374
511,NA1_3863408103
512,NA1_3863376674
513,NA1_3747192811
514,NA1_3746998169
515,{status:
516,{message:
517,Bad
518,Request
519,-
520,Exception
521,decrypting
522,nan
523,status_code:
524,400}}
525,
526,
527,NA1_4088659669
528,NA1_4086511334
529,NA1_4086458448
530,NA1_4086194849
531,NA1_4085683560
532,NA1_4085642783
533,NA1_4085586832
534,NA1_4085613265
535,NA1_4085377633
536,NA1_4085411067
537,NA1_4084876460
538,NA1_4084869477
539,NA1_4084856170
540,NA1_4084831436
541,NA1_4084748509
542,NA1_4084725932
543,NA1_4084367794
544,NA1_4084395301
545,NA1_4084258630
546,NA1_4083815052
547,NA1_4083549007
548,NA1_4083595248
549,NA1_4083334660
550,NA1_4083362539
551,NA1_4082810920
552,NA1_4082719041
553,NA1_4040775425
554,NA1_4040709590
555,NA1_4040177598
556,NA1_4039880775
557,NA1_4036553802
558,NA1_4031550008
559,NA1_4031493388
560,NA1_4031458591
561,NA1_4028167977
562,NA1_4028151951
563,NA1_4025098084
564,NA1_4025093858
565,NA1_4024099313
566,NA1_4024106720
567,NA1_4024049850
568,NA1_4023275230
569,NA1_4020940588
570,NA1_4020706949
571,NA1_4016834534
572,NA1_4016830040
573,NA1_4016743820
574,NA1_4015797165
575,NA1_4014783971
576,NA1_4014801378
577,NA1_4014734241
578,NA1_4014518355
579,NA1_4014492034
580,NA1_4014435111
581,NA1_4013693278
582,NA1_4013666073
583,NA1_4013569007
584,NA1_4012543749
585,NA1_4012378999
586,NA1_4012357555
587,NA1_4010526707
588,NA1_4010326988
589,NA1_4009216413
590,NA1_4009138679
591,NA1_4009102028
592,NA1_4009008035
593,NA1_4008433608
594,NA1_4008348689
595,NA1_4007154036
596,NA1_4007044292
597,NA1_4007021657
598,NA1_4006279738
599,NA1_4006261719
600,NA1_4005739397
601,NA1_4005727234
602,NA1_4005733806
603,NA1_4004718524
604,NA1_4004125145
605,NA1_4004094232
606,NA1_4004039248
607,NA1_4001972942
608,NA1_4001935636
609,NA1_4001884903
610,NA1_4001818728
611,NA1_4001678726
612,NA1_4001673179
613,NA1_4001638181
614,NA1_4000928275
615,NA1_4000932444
616,NA1_3999857302
617,NA1_3999842672
618,NA1_3999621724
619,NA1_3999553620
620,NA1_3999531874
621,NA1_3999436921
622,NA1_3998881214
623,NA1_3998843557
624,NA1_3997818134
625,NA1_3997864235
626,NA1_3997822875
627,NA1_3995465182
628,NA1_3967613980
629,NA1_3967548961
630,NA1_3967513917
631,NA1_3922920997
632,NA1_3922920986
633,NA1_3921102517
634,NA1_3921102495
635,NA1_3920941991
636,NA1_3921111529
637,NA1_3920901354
638,NA1_3920901127
639,NA1_3913234997
640,NA1_3913175566
641,NA1_3912092640
642,NA1_3911982406
643,NA1_3911894890
644,NA1_3909814850
645,NA1_3903811578
646,NA1_3903850976
647,NA1_3899710566
648,NA1_3899595789
649,NA1_3885645818
650,NA1_3885579115
651,NA1_3885540297
652,NA1_3841265246
653,NA1_3841236275
654,NA1_3838628557
655,NA1_3825697498
656,NA1_3824210741
657,NA1_3824134295
658,NA1_3822962425
659,NA1_3822848663
660,NA1_3822835592
661,NA1_3822821484
662,NA1_3821627939
663,NA1_3821536198
664,NA1_3821492987
665,NA1_3820256621
666,NA1_3820250760
667,NA1_3820141329
668,NA1_3819900891
669,NA1_3818860754
670,NA1_3818803042
671,NA1_3818714122
672,NA1_3815737027
673,NA1_3814764955
674,NA1_3814701989
675,NA1_3814653038
676,NA1_3814575917
677,NA1_3813548959
678,NA1_3813551988
679,NA1_3813031293
680,NA1_3812522615
681,NA1_3812394780
682,NA1_3812317807
683,NA1_3812050858
684,NA1_3811904600
685,NA1_3811144416
686,NA1_3811089045
687,NA1_3811063191
688,NA1_3811053374
689,NA1_3810958784
690,NA1_3810962287
691,NA1_3809717795
692,NA1_3809649390
693,NA1_3809646949
694,NA1_3809622028
695,NA1_3809565481
696,NA1_3809456415
697,NA1_3806704589
698,NA1_3806598970
699,NA1_3806220858
700,NA1_3806104511
701,NA1_3806021851
702,NA1_3805964040
703,NA1_3805773969
704,NA1_3805263547
705,NA1_3805237702
706,NA1_3805232282
707,NA1_3804338057
708,NA1_3803370139
709,NA1_3803182627
710,NA1_3803146284
711,NA1_3802959716
712,NA1_3802106658
713,NA1_3802068194
714,NA1_3802089967
715,NA1_3801898982
716,NA1_3800754827
717,NA1_3800695782
718,NA1_3800649452
719,NA1_3798399965
720,NA1_3798316022
721,NA1_3796753156
722,NA1_3796721178
723,NA1_3796653962
724,NA1_3796553918
725,NA1_3796175408
726,NA1_3795551628
727,NA1_4079318231
728,NA1_4079296197
729,NA1_4052493139
730,NA1_4028567031
731,NA1_4022149988
732,NA1_4022086963
733,NA1_4021809839
734,NA1_4021763741
735,NA1_4021770497
736,NA1_4021725757
737,NA1_4021704568
738,NA1_4021691518
739,NA1_4017729037
740,NA1_4017715262
741,NA1_4016058791
742,NA1_4016027258
743,NA1_4010534842
744,NA1_4010413752
745,NA1_4010410373
746,NA1_4008737324
747,NA1_4008501990
748,NA1_4007175277
749,NA1_4006377579
750,NA1_4006355037
751,NA1_4006319617
752,NA1_4006341309
753,NA1_4006228200
754,NA1_4005423637
755,NA1_4005410785
756,NA1_4005317188
757,NA1_4005284476
758,NA1_4005207484
759,NA1_4005204240
760,NA1_4005133570
761,NA1_4005067776
762,NA1_4005070140
763,NA1_4003528649
764,NA1_4003059250
765,NA1_4002993456
766,NA1_4001913081
767,NA1_4001815854
768,NA1_4001738284
769,NA1_4001743120
770,NA1_4001685322
771,NA1_4001149772
772,NA1_4001046231
773,NA1_4001042943
774,NA1_3999703314
775,NA1_3999633083
776,NA1_3999600803
777,NA1_3999505121
778,NA1_3998541551
779,NA1_3998456808
780,NA1_3998427810
781,NA1_3998422630
782,NA1_3998367572
783,NA1_3998364008
784,NA1_3998322982
785,NA1_3996933860
786,NA1_3996232141
787,NA1_3995995259
788,NA1_3994449713
789,NA1_3994446908
790,NA1_3994483060
791,NA1_3994288916
792,NA1_3994314354
793,NA1_3993168905
794,NA1_3993154552
795,NA1_3993111240
796,NA1_3993047674
797,NA1_3992984071
798,NA1_3992959490
799,NA1_3992914303
800,NA1_3992259822
801,NA1_3990601750
802,NA1_3990210599
803,NA1_3988885073
804,NA1_3988871733
805,NA1_3988799296
806,NA1_3988814978
807,NA1_3988719619
808,NA1_3985340574
809,NA1_3985256375
810,NA1_3985271146
811,NA1_3985151546
812,NA1_3984211213
813,NA1_3983799326
814,NA1_3983812836
815,NA1_3983746995
816,NA1_3983752116
817,NA1_3983627940
818,NA1_3983671721
819,NA1_3983110912
820,NA1_3983019467
821,NA1_3983045346
822,NA1_3983002013
823,NA1_3982947885
824,NA1_3982932759
825,NA1_3982626013
826,NA1_3982581783
827,NA1_4087919690
828,NA1_4087896902
829,NA1_4086751400
830,NA1_4086604625
831,NA1_4086591748
832,NA1_4086537943
833,NA1_4086479831
834,NA1_4086444125
835,NA1_4086408935
836,NA1_4086367156
837,NA1_4086237504
838,NA1_4085859147
839,NA1_4085901009
840,NA1_4085795558
841,NA1_4085768195
842,NA1_4085745302
843,NA1_4085696455
844,NA1_4085654028
845,NA1_4085588780
846,NA1_4085630724
847,NA1_4085467839
848,NA1_4085455653
849,NA1_4085441808
850,NA1_4085404277
851,NA1_4085401112
852,NA1_4074857427
853,NA1_4074590638
854,NA1_4074547776
855,NA1_4074507762
856,NA1_4074403122
857,NA1_4074351307
858,NA1_4074284301
859,NA1_4073502748
860,NA1_4073445714
861,NA1_4073181835
862,NA1_4072620372
863,NA1_4072566618
864,NA1_4072228301
865,NA1_4071599019
866,NA1_4071585223
867,NA1_4071552677
868,NA1_4071532993
869,NA1_4071356004
870,NA1_4071420744
871,NA1_4071200436
872,NA1_4058624704
873,NA1_4057790002
874,NA1_4034976240
875,NA1_4034955864
876,NA1_4034838388
877,NA1_4034312080
878,NA1_4034261358
879,NA1_3968830731
880,NA1_3968634369
881,NA1_3968336389
882,NA1_3968011824
883,NA1_3967784521
884,NA1_3967698599
885,NA1_3967375397
886,NA1_3967286565
887,NA1_3966752486
888,NA1_3954632492
889,NA1_3954533159
890,NA1_3842441714
891,NA1_3842393614
892,NA1_3842357010
893,NA1_3842258953
894,NA1_3842094144
895,NA1_3841767508
896,NA1_3806961717
897,NA1_3805247105
898,NA1_3805220810
899,NA1_3804367827
900,NA1_3799517875
901,NA1_3799138223
902,NA1_3799056183
903,NA1_3798998045
904,NA1_3797994670
905,NA1_3797829790
906,NA1_3797735481
907,NA1_3797689006
908,NA1_3797694911
909,NA1_3797628076
910,NA1_3796814036
911,NA1_3796764041
912,NA1_3796663589
913,NA1_3796546905
914,NA1_3796506853
915,NA1_3796221801
916,NA1_3796124732
917,NA1_3795382160
918,NA1_3794722126
919,NA1_3794665611
920,NA1_3794627341
921,NA1_3794244147
922,NA1_3794001578
923,NA1_3793962869
924,NA1_3792677870
925,NA1_3792672136
926,NA1_3792606313
927,NA1_4087942812
928,NA1_4087901878
929,NA1_4086775431
930,NA1_4086792179
931,NA1_4086016742
932,NA1_4086006011
933,NA1_4085117651
934,NA1_4085144881
935,NA1_4085123359
936,NA1_4083957387
937,NA1_4083954005
938,NA1_4083950629
939,NA1_4083168185
940,NA1_4083075617
941,NA1_4083062900
942,NA1_4083029276
943,NA1_4082254930
944,NA1_4082262396
945,NA1_4082199073
946,NA1_4082185314
947,NA1_4081222379
948,NA1_4081220608
949,NA1_4080253927
950,NA1_4080299921
951,NA1_4080160440
952,NA1_4080057627
953,NA1_4080044080
954,NA1_4079897212
955,NA1_4078575400
956,NA1_4078312998
957,NA1_4078302400
958,NA1_4075395367
959,NA1_4075297733
960,NA1_4075266362
961,NA1_4074663155
962,NA1_4074651823
963,NA1_4071852139
964,NA1_4071850707
965,NA1_4071828389
966,NA1_4070706505
967,NA1_4070666136
968,NA1_4070627645
969,NA1_4070331274
970,NA1_4069953580
971,NA1_4069896078
972,NA1_4069874095
973,NA1_4069930102
974,NA1_4069228387
975,NA1_4069173920
976,NA1_4069192304
977,NA1_4069117771
978,NA1_4068493037
979,NA1_4068097371
980,NA1_4068007798
981,NA1_4067994549
982,NA1_4068031559
983,NA1_4067958936
984,NA1_4065150554
985,NA1_4065108303
986,NA1_4064343249
987,NA1_4064381928
988,NA1_4064400848
989,NA1_4064380005
990,NA1_4064288952
991,NA1_4064290755
992,NA1_4064247950
993,NA1_4064215405
994,NA1_4064242030
995,NA1_4064159149
996,NA1_4064164698
997,NA1_4064162244
998,NA1_4063244771
999,NA1_4063252820
1000,NA1_4063222374
1001,NA1_4063229962
1002,NA1_4063186848
1003,NA1_4062242779
1004,NA1_4062168699
1005,NA1_4062128206
1006,NA1_4062125468
1007,NA1_4061367287
1008,NA1_4061336069
1009,NA1_4061308821
1010,NA1_4061287985
1011,NA1_4061265785
1012,NA1_4061311627
1013,NA1_4061257321
1014,NA1_4061244300
1015,NA1_4060493938
1016,NA1_4060469670
1017,NA1_4059277403
1018,NA1_4059256700
1019,NA1_4059192762
1020,NA1_4059139583
