,0
502,NA1_4100966954
503,NA1_4100548169
504,NA1_4100505909
505,NA1_4099829539
506,NA1_4099817457
507,NA1_4099863245
508,NA1_4099851121
509,NA1_4099485279
510,NA1_4099454339
511,NA1_4099511059
512,NA1_4099227235
513,NA1_4099224359
514,NA1_4099138035
515,NA1_4098737495
516,NA1_4098734686
517,NA1_4098721779
518,NA1_4098619214
519,NA1_4098616400
520,NA1_4097926987
521,NA1_4097921967
522,NA1_4097579137
523,NA1_4097134674
524,NA1_4097082831
525,NA1_4097058940
526,NA1_4097023114
527,NA1_4096996845
528,NA1_4096970362
529,NA1_4096882242
530,NA1_4096826294
531,NA1_4096821634
532,NA1_4096724338
533,NA1_4095772039
534,NA1_4095790226
535,NA1_4095707702
536,NA1_4095712671
537,NA1_4094549256
538,NA1_4094405518
539,NA1_4094307983
540,NA1_4094302928
541,NA1_4092709361
542,NA1_4092695649
543,NA1_4092670799
544,NA1_4092624861
545,NA1_4092600164
546,NA1_4092582955
547,NA1_4092392981
548,NA1_4092367473
549,NA1_4092333709
550,NA1_4092092776
551,NA1_4092016508
552,NA1_4092012229
553,NA1_4091919025
554,NA1_4091913327
555,NA1_4091887288
556,NA1_4091883229
557,NA1_4091772744
558,NA1_4091708447
559,NA1_4091619651
560,NA1_4091630975
561,NA1_4091277480
562,NA1_4091324063
563,NA1_4091261043
564,NA1_4091014883
565,NA1_4091031678
566,NA1_4090937108
567,NA1_4090437937
568,NA1_4090423634
569,NA1_4090379539
570,NA1_4090376422
571,NA1_4090383036
572,NA1_4090319317
573,NA1_4090259880
574,NA1_4089948026
575,NA1_4089880533
576,NA1_4089061289
577,NA1_4089029813
578,NA1_4088957342
579,NA1_4088993969
580,NA1_4088982553
581,NA1_4088818502
582,NA1_4088807233
583,NA1_4088668964
584,NA1_4088666390
585,NA1_4088701505
586,NA1_4088609104
587,NA1_4088107719
588,NA1_4088106068
589,NA1_4088141400
590,NA1_4087799398
591,NA1_4087786793
592,NA1_4087744736
593,NA1_4087740998
594,NA1_4087696821
595,NA1_4087732378
596,NA1_4087648121
597,NA1_4087655315
598,NA1_4087602313
599,NA1_4087492880
600,NA1_4104634689
601,NA1_4104640339
602,NA1_4104614863
603,NA1_4104581549
604,NA1_4104321341
605,NA1_4104291697
606,NA1_4104299776
607,NA1_4104256725
608,NA1_4104275549
609,NA1_4104274385
610,NA1_4104252689
611,NA1_4104270805
612,NA1_4104208736
613,NA1_4104196106
614,NA1_4104139683
615,NA1_4104094859
616,NA1_4104111089
617,NA1_4104029117
618,NA1_4104026385
619,NA1_4103821510
620,NA1_4103715109
621,NA1_4103681360
622,NA1_4103595715
623,NA1_4103590453
624,NA1_4103551744
625,NA1_4102907010
626,NA1_4102933093
627,NA1_4102940402
628,NA1_4102847461
629,NA1_4102833215
630,NA1_4102778746
631,NA1_4102802388
632,NA1_4102718409
633,NA1_4102674648
634,NA1_4102653534
635,NA1_4102610214
636,NA1_4102238252
637,NA1_4102313681
638,NA1_4102099153
639,NA1_4101708667
640,NA1_4101745380
641,NA1_4101622652
642,NA1_4101578282
643,NA1_4101593879
644,NA1_4101571464
645,NA1_4101476485
646,NA1_4101412610
647,NA1_4101365678
648,NA1_4101287715
649,NA1_4101259525
650,NA1_4101070911
651,NA1_4101026755
652,NA1_4101011945
653,NA1_4100967277
654,NA1_4100924891
655,NA1_4100322222
656,NA1_4100283601
657,NA1_4099974981
658,NA1_4099970712
659,NA1_4098807585
660,NA1_4098811134
661,NA1_4098745500
662,NA1_4098713306
663,NA1_4098668455
664,NA1_4098189047
665,NA1_4098147759
666,NA1_4098174442
667,NA1_4098162341
668,NA1_4098059330
669,NA1_4098083997
670,NA1_4098060143
671,NA1_4097986411
672,NA1_4098002228
673,NA1_4097936752
674,NA1_4097834222
675,NA1_4097748512
676,NA1_4097753646
677,NA1_4097357610
678,NA1_4097374661
679,NA1_4096922960
680,NA1_4096858261
681,NA1_4096824900
682,NA1_4096758455
683,NA1_4096744376
684,NA1_4095745417
685,NA1_4095762770
686,NA1_4095760494
687,NA1_4095679030
688,NA1_4095676838
689,NA1_4095702114
690,NA1_4095637170
691,NA1_4095612294
692,NA1_4095549269
693,NA1_4095561881
694,NA1_4095477832
695,NA1_4095398895
696,NA1_4095432834
697,NA1_4095328994
698,NA1_4095373614
699,NA1_4095288204
700,NA1_4104035080
701,NA1_4103986571
702,NA1_4103944119
703,NA1_4103909079
704,NA1_4103915674
705,NA1_4103058910
706,NA1_4103083400
707,NA1_4101795100
708,NA1_4101548520
709,NA1_4101478179
710,NA1_4101415732
711,NA1_4101440486
712,NA1_4101371011
713,NA1_4101296170
714,NA1_4100669363
715,NA1_4100486243
716,NA1_4098851912
717,NA1_4097797607
718,NA1_4097780848
719,NA1_4095613907
720,NA1_4095545788
721,NA1_4092008227
722,NA1_4091972264
723,NA1_4091957558
724,NA1_4089622856
725,NA1_4088763271
726,NA1_4088760379
727,NA1_4088586880
728,NA1_4088631064
729,NA1_4088538469
730,NA1_4087950359
731,NA1_4087906993
732,NA1_4087905503
733,NA1_4087656559
734,NA1_4087623665
735,NA1_4087641070
736,NA1_4087558481
737,NA1_4087565343
738,NA1_4087052560
739,NA1_4086456615
740,NA1_4086472729
741,NA1_4086412031
742,NA1_4086357370
743,NA1_4086300846
744,NA1_4086212200
745,NA1_4086053977
746,NA1_4085578512
747,NA1_4085634656
748,NA1_4085251370
749,NA1_4085270150
750,NA1_4085023675
751,NA1_4084766855
752,NA1_4084753099
753,NA1_4084554219
754,NA1_4084033339
755,NA1_4084079855
756,NA1_4083978918
757,NA1_4084025593
758,NA1_4084013219
759,NA1_4083971506
760,NA1_4083936988
761,NA1_4083698967
762,NA1_4083674190
763,NA1_4083595783
764,NA1_4083248674
765,NA1_4083218845
766,NA1_4083246928
767,NA1_4083197746
768,NA1_4083226058
769,NA1_4083243591
770,NA1_4083232660
771,NA1_4083192851
772,NA1_4083249831
773,NA1_4083149561
774,NA1_4083157608
775,NA1_4083174342
776,NA1_4082954147
777,NA1_4082922450
778,NA1_4082410652
779,NA1_4081632383
780,NA1_4081526194
781,NA1_4081582902
782,NA1_4081225565
783,NA1_4080158739
784,NA1_4079959694
785,NA1_4079387802
786,NA1_4077247300
787,NA1_4077196375
788,NA1_4074991203
789,NA1_4074716310
790,NA1_4072712518
791,NA1_4070171969
792,NA1_4070099394
793,NA1_4070127426
794,NA1_4070135178
795,NA1_4070141836
796,NA1_4070112013
797,NA1_4069972978
798,NA1_4069990804
799,NA1_4069889226
800,NA1_4105012906
801,NA1_4103299345
802,NA1_4103052739
803,NA1_4102979081
804,NA1_4102966728
805,NA1_4102973721
806,NA1_4102899230
807,NA1_4102904335
808,NA1_4102879536
809,NA1_4102573574
810,NA1_4101294227
811,NA1_4101229680
812,NA1_4101246587
813,NA1_4100552092
814,NA1_4100459378
815,NA1_4100474341
816,NA1_4100431283
817,NA1_4099968673
818,NA1_4099976211
819,NA1_4099973366
820,NA1_4098947356
821,NA1_4098952875
822,NA1_4098849018
823,NA1_4096194783
824,NA1_4096172192
825,NA1_4096119618
826,NA1_4096155946
827,NA1_4096134518
828,NA1_4095073999
829,NA1_4094825131
830,NA1_4094774624
831,NA1_4094782458
832,NA1_4094288513
833,NA1_4093985045
834,NA1_4093923784
835,NA1_4093960789
836,NA1_4093876837
837,NA1_4093683324
838,NA1_4093574249
839,NA1_4093153123
840,NA1_4093100715
841,NA1_4093089976
842,NA1_4093026717
843,NA1_4092468212
844,NA1_4092454660
845,NA1_4092510028
846,NA1_4092417364
847,NA1_4092405272
848,NA1_4092441936
849,NA1_4091740555
850,NA1_4091507717
851,NA1_4091416258
852,NA1_4091461219
853,NA1_4091379699
854,NA1_4090502320
855,NA1_4090438631
856,NA1_4090455141
857,NA1_4090472070
858,NA1_4090407703
859,NA1_4090393635
860,NA1_4090339578
861,NA1_4089286747
862,NA1_4089207845
863,NA1_4089156512
864,NA1_4089172178
865,NA1_4089138146
866,NA1_4089039609
867,NA1_4089026814
868,NA1_4089023772
869,NA1_4089031360
870,NA1_4088987831
871,NA1_4088938433
872,NA1_4088994457
873,NA1_4088964075
874,NA1_4088560978
875,NA1_4088446757
876,NA1_4088397212
877,NA1_4088336583
878,NA1_4088303439
879,NA1_4088277159
880,NA1_4088273995
881,NA1_4088232094
882,NA1_4088168911
883,NA1_4087732236
884,NA1_4087635465
885,NA1_4087601727
886,NA1_4087594934
